ADES,"Advanced Emissions Solutions, Inc.",5.65,104795561.55,n/a,n/a,Basic Industries,Major Chemicals
ASIX,AdvanSix Inc.,17.77,498097915.67,n/a,2016,Basic Industries,Major Chemicals
AEGN,Aegion Corp,17.15,527754411.8,n/a,n/a,Basic Industries,Water Supply
AMTX,"Aemetis, Inc",2.19,47776282.26,n/a,n/a,Basic Industries,Major Chemicals
AENZ,Aenza S.A.A.,2.3303,406366035.5013,n/a,2018,Basic Industries,Military/Government/Technical
AEM,Agnico Eagle Mines Limited,65.87,15963619464.73,n/a,n/a,Basic Industries,Precious Metals
APD,"Air Products and Chemicals, Inc.",280.14,61918389482.88,n/a,n/a,Basic Industries,Major Chemicals
AGI,Alamos Gold Inc.,8.27,3247609730.9,n/a,2015,Basic Industries,Precious Metals
AIN,Albany International Corporation,68.53,2213519000,n/a,n/a,Basic Industries,Textiles
ALB,Albemarle Corporation,135.97,14474984532.21,n/a,n/a,Basic Industries,Major Chemicals
AA,Alcoa Corporation,19.9,3699998761.4,n/a,2016,Basic Industries,Aluminum
AXU,Alexco Resource Corp,2.4,328942012.8,n/a,n/a,Basic Industries,Precious Metals
ATI,Allegheny Technologies Incorporated,13.49,1710753829.56,n/a,n/a,Basic Industries,Steel/Iron Ore
AAU,"Almaden Minerals, Ltd.",1.02,122959583.22,n/a,2015,Basic Industries,Precious Metals
ACH,Aluminum Corporation of China Limited,9.82,6686505934.76,n/a,2001,Basic Industries,Aluminum
AMRK,"A-Mark Precious Metals, Inc.",30.59,216885118.94,n/a,n/a,Basic Industries,Other Specialty Stores
AMRC,"Ameresco, Inc.",44.55,2132433641.25,n/a,2010,Basic Industries,Engineering & Construction
AVD,American Vanguard Corporation,15.16,459159667.32,n/a,n/a,Basic Industries,Agricultural Chemicals
AMWD,American Woodmark Corporation,87.51,1487080182.6,n/a,1986,Basic Industries,Forest Products
USAS,Americas Gold and Silver Corporation,2.69,317354307.51,n/a,2017,Basic Industries,Precious Metals
AMRS,"Amyris, Inc.",2.92,698497325.96,n/a,2010,Basic Industries,Major Chemicals
AU,AngloGold Ashanti Limited,21.67,9014698893.42,n/a,n/a,Basic Industries,Precious Metals
APG,APi Group Corporation,15.5,2631809712.5,n/a,2020,Basic Industries,Engineering & Construction
AQMS,"Aqua Metals, Inc.",1.3,79528229.3,n/a,2015,Basic Industries,Metal Fabrications
MT,ArcelorMittal,18.16,19203719105.04,n/a,n/a,Basic Industries,Steel/Iron Ore
MTCN,ArcelorMittal,44.59,0,n/a,2020,Basic Industries,Steel/Iron Ore
AGX,"Argan, Inc.",45.99,720661874.31,n/a,n/a,Basic Industries,Engineering & Construction
APWC,Asia Pacific Wire ,2.31,31923435.39,n/a,n/a,Basic Industries,Telecommunications Equipment
AVNT,Avient Corporation,36.55,3343433033.8,n/a,n/a,Basic Industries,Major Chemicals
ASM,Avino Silver,0.9366,83890027.5612,n/a,n/a,Basic Industries,Precious Metals
AXTA,Axalta Coating Systems Ltd.,28.61,6736991791.59,n/a,2014,Basic Industries,Paints/Coatings
BTG,B2Gold Corp,5.58,5862304353.24,n/a,n/a,Basic Industries,Precious Metals
BCPC,Balchem Corporation,103.69,3354486803.28,n/a,n/a,Basic Industries,Major Chemicals
GOLD,Barrick Gold Corporation,23.14,41145832122.72,n/a,n/a,Basic Industries,Precious Metals
BDC,Belden Inc,38.48,1716591722.56,n/a,n/a,Basic Industries,Telecommunications Equipment
BHP,BHP Group Limited,55.79,141090767385.05,n/a,n/a,Basic Industries,Precious Metals
BIOX,Bioceres Crop Solutions Corp.,6.1,245987544.7,n/a,2018,Basic Industries,Agricultural Chemicals
BAK,Braskem S.A.,8.42,3350080387.6,n/a,n/a,Basic Industries,Major Chemicals
BBU,Brookfield Business Partners L.P.,35.78,2859295333.62,n/a,2016,Basic Industries,Engineering & Construction
BVN,Buenaventura Mining Company Inc.,11.1,2819254223.7,n/a,1996,Basic Industries,Precious Metals
CBT,Cabot Corporation,41.41,2343807076.66,n/a,n/a,Basic Industries,Major Chemicals
CMCL,Caledonia Mining Corporation Plc,14.43,174874615.89,n/a,n/a,Basic Industries,Precious Metals
CLXT,"Calyxt, Inc.",3.72,137881963.68,n/a,2017,Basic Industries,Agricultural Chemicals
CCJ,Cameco Corporation,10.02,3966378984.12,n/a,1996,Basic Industries,Precious Metals
CSL,Carlisle Companies Incorporated,144.83,7730868259.45,n/a,n/a,Basic Industries,Specialty Chemicals
CRS,Carpenter Technology Corporation,24.44,1173569867.08,n/a,n/a,Basic Industries,Steel/Iron Ore
CVCO,"Cavco Industries, Inc.",180.01,1653961041.62,n/a,n/a,Basic Industries,Homebuilding
CE,Celanese Corporation,129.33,15118033324.59,n/a,2005,Basic Industries,Major Chemicals
LEU,Centrus Energy Corp.,14.99,180477936.11,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CENX,Century Aluminum Company,10.15,908271065.1,n/a,1996,Basic Industries,Aluminum
CF,"CF Industries Holdings, Inc.",37.3,7979074073.5,n/a,2005,Basic Industries,Agricultural Chemicals
CHRA,"Charah Solutions, Inc.",2.84,85179651.4,n/a,2018,Basic Industries,Environmental Services
CC,Chemours Company (The),24.33,4002183616.89,n/a,2015,Basic Industries,Major Chemicals
CGA,"China Green Agriculture, Inc.",2.73,17335852.17,n/a,n/a,Basic Industries,Agricultural Chemicals
CHNR,"China Natural Resources, Inc.",1.4652,49799337.7464,n/a,n/a,Basic Industries,Precious Metals
CHD,"Church & Dwight Company, Inc.",87.77,21806489589.29,n/a,n/a,Basic Industries,Package Goods/Cosmetics
CINR,Ciner Resources LP,12.24,241952180.4,n/a,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CLH,"Clean Harbors, Inc.",72.37,3998174586.26,n/a,n/a,Basic Industries,Environmental Services
CLW,Clearwater Paper Corporation,34.91,578572017.86,n/a,n/a,Basic Industries,Paper
CLF,Cleveland-Cliffs Inc.,11.01,4395650973.87,n/a,n/a,Basic Industries,Precious Metals
CDXS,"Codexis, Inc.",18.52,1097899028.6,n/a,2010,Basic Industries,Major Chemicals
CDE,"Coeur Mining, Inc.",7.09,1728074861.17,n/a,n/a,Basic Industries,Precious Metals
CSCW,Color Star Technology Co. Ltd.,0.57,31271232.27,n/a,n/a,Basic Industries,Engineering & Construction
CMC,Commercial Metals Company,19.91,2390554298.11,n/a,n/a,Basic Industries,Steel/Iron Ore
CMP,"Compass Minerals International, Inc.",62.46,2120837919.48,n/a,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LODE,"Comstock Mining, Inc.",1.03,35473988.98,n/a,n/a,Basic Industries,Precious Metals
BBCP,"Concrete Pumping Holdings, Inc. ",3.9,220209568.8,n/a,2017,Basic Industries,Engineering & Construction
CSTM,Constellium SE,12.64,1769128174.08,n/a,2013,Basic Industries,Metal Fabrications
ROAD,"Construction Partners, Inc.",26.3,1361859893.5,n/a,2018,Basic Industries,Military/Government/Technical
GLW,Corning Incorporated,37.42,28589255285.18,n/a,n/a,Basic Industries,Telecommunications Equipment
KOR,Corvus Gold Inc.,2.445,303150281.025,n/a,n/a,Basic Industries,Precious Metals
CVA,Covanta Holding Corporation,12.4,1636574010,n/a,n/a,Basic Industries,Electric Utilities: Central
CRWS,"Crown Crafts, Inc.",7.73,79064442.07,n/a,n/a,Basic Industries,Textiles
CSWI,"CSW Industrials, Inc.",107.29,1588313542.41,n/a,n/a,Basic Industries,Home Furnishings
CULP,"Culp, Inc.",14.32,176104925.6,n/a,n/a,Basic Industries,Textiles
UAN,"CVR Partners, LP",9.02,100112050.94,n/a,2011,Basic Industries,Agricultural Chemicals
DNN,Denison Mine Corp,0.3774,255752062.8402,n/a,n/a,Basic Industries,Precious Metals
UFS,Domtar Corporation,30.1,1661355593.8,n/a,n/a,Basic Industries,Paper
DOW,Dow Inc.,53.01,39320260903.62,n/a,2019,Basic Industries,Major Chemicals
DRD,DRDGOLD Limited,10.6,906420617.4,n/a,n/a,Basic Industries,Precious Metals
DD,"DuPont de Nemours, Inc.",63.44,46555418941.2,n/a,2017,Basic Industries,Major Chemicals
DY,"Dycom Industries, Inc.",62.86,2006062683.38,n/a,n/a,Basic Industries,Water Supply
EMN,Eastman Chemical Company,97.4,13194572875.6,n/a,n/a,Basic Industries,Major Chemicals
ECL,Ecolab Inc.,222.15,63411647403.45,n/a,n/a,Basic Industries,Package Goods/Cosmetics
EGO,Eldorado Gold Corporation,11.8,2062626689.6,n/a,n/a,Basic Industries,Precious Metals
ESI,Element Solutions Inc.,13.81,3414014043.42,n/a,2014,Basic Industries,Major Chemicals
EMX,EMX Royalty Corporation,3.04,256385878.4,n/a,n/a,Basic Industries,Precious Metals
EXK,Endeavour Silver Corporation,3.41,536979888.28,n/a,n/a,Basic Industries,Precious Metals
UUUU,Energy Fuels Inc,2.08,272634602.24,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
NPO,EnPro Industries,70.81,1454155222.15,n/a,n/a,Basic Industries,Metal Fabrications
EVA,"Enviva Partners, LP",44.64,1775219771.52,n/a,2015,Basic Industries,Forest Products
EQX,Equinox Gold Corp.,9.92,2399352126.08,n/a,n/a,Basic Industries,Precious Metals
EVGN,Evogene Ltd.,3.47,123445090.38,n/a,n/a,Basic Industries,Agricultural Chemicals
EXN,Excellon Resources Inc.,2.54,81455260,n/a,2020,Basic Industries,Precious Metals
FLRZ,"F5 Finishes, Inc.",n/a,0,n/a,n/a,Basic Industries,Engineering & Construction
FOE,Ferro Corporation,14.31,1177578729.27,n/a,n/a,Basic Industries,Paints/Coatings
AG,First Majestic Silver Corp.,10.37,2294234814.19,n/a,n/a,Basic Industries,Precious Metals
FSI,Flexible Solutions International Inc.,2.45,29989335.25,n/a,n/a,Basic Industries,Major Chemicals
FTK,"Flotek Industries, Inc.",2.03,148382649.03,n/a,n/a,Basic Industries,Major Chemicals
FLR,Fluor Corporation,17.27,2428521941.34,n/a,n/a,Basic Industries,Military/Government/Technical
FMC,FMC Corporation,116.01,15053127783.57,n/a,n/a,Basic Industries,Major Chemicals
FSM,Fortuna Silver Mines Inc.,6.33,1165958951.91,n/a,n/a,Basic Industries,Precious Metals
FBHS,"Fortune Brands Home & Security, Inc.",83.5,11600547452,n/a,n/a,Basic Industries,Homebuilding
FNV,Franco-Nevada Corporation,133.04,25388254157.44,n/a,n/a,Basic Industries,Precious Metals
FCX,"Freeport-McMoran, Inc.",23.39,33982592367.19,n/a,n/a,Basic Industries,Precious Metals
FURY,Fury Gold Mines Limited,1.35,159062206.95,n/a,2020,Basic Industries,Precious Metals
FF,FutureFuel Corp.,11.99,524481483.57,n/a,n/a,Basic Industries,Major Chemicals
GAU,Galiano Gold Inc.,1.16,260105085.52,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GATO,"Gatos Silver, Inc.",6.85,405404070.6,n/a,2020,Basic Industries,Precious Metals
GCP,GCP Applied Technologies Inc.,23.49,1716139443.51,n/a,2016,Basic Industries,Major Chemicals
GEVO,"Gevo, Inc.",2,239256406,n/a,2011,Basic Industries,Major Chemicals
GLT,Glatfelter Corporation,16.08,713434802.88,n/a,n/a,Basic Industries,Paper
GFI,Gold Fields Limited,8.71,7693834941.78,n/a,n/a,Basic Industries,Precious Metals
GORO,Gold Resource Corporation,2.98,214159774.08,n/a,n/a,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation,0.6789,213964568.04,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AUMN,Golden Minerals Company,0.5516,83574378.8432,n/a,n/a,Basic Industries,Precious Metals
GSS,"Golden Star Resources, Ltd",3.85,428354237.85,n/a,n/a,Basic Industries,Precious Metals
GV,Goldfield Corporation (The),6.97,170922061.98,n/a,n/a,Basic Industries,Water Supply
GLDG,GoldMining Inc.,2.08,307068723.52,n/a,n/a,Basic Industries,Precious Metals
GVA,Granite Construction Incorporated,24.62,1150771076.82,n/a,n/a,Basic Industries,Military/Government/Technical
GLDD,Great Lakes Dredge & Dock Corporation,11.29,733517306.28,n/a,n/a,Basic Industries,Military/Government/Technical
GPL,Great Panther Mining Limited,0.817,289812627.306,n/a,n/a,Basic Industries,Precious Metals
GPP,Green Plains Partners LP,8.45,196109044.95,n/a,2015,Basic Industries,Major Chemicals
GPRE,"Green Plains, Inc.",14.78,527029437.52,n/a,n/a,Basic Industries,Major Chemicals
SIM,"Grupo Simec, S.A. de C.V.",9.2585,1429896970.3145,n/a,1993,Basic Industries,Steel/Iron Ore
GURE,"Gulf Resources, Inc.",4.4,43988898.8,n/a,n/a,Basic Industries,Major Chemicals
FUL,H. B. Fuller Company,52.33,2707321854.8,n/a,n/a,Basic Industries,Home Furnishings
HMY,Harmony Gold Mining Company Limited,4.21,2514779440.64,n/a,n/a,Basic Industries,Precious Metals
HL,Hecla Mining Company,4.78,2538286603.56,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HL^B,Hecla Mining Company,54.25,0,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HCCI,"Heritage-Crystal Clean, Inc.",19.27,462345514.67,n/a,2008,Basic Industries,Miscellaneous
HXL,Hexcel Corporation,49.52,4136688854.4,n/a,n/a,Basic Industries,Major Chemicals
HBM,Hudbay Minerals Inc.,6.33,1653852715.83,n/a,n/a,Basic Industries,Precious Metals
HUN,Huntsman Corporation,24.77,5469005033.91,n/a,2005,Basic Industries,Major Chemicals
HYMC,Hycroft Mining Holding Corporation,7.8,391248327.6,n/a,2018,Basic Industries,Precious Metals
HYMCW,Hycroft Mining Holding Corporation,1.42,0,n/a,2018,Basic Industries,Precious Metals
HYMCZ,Hycroft Mining Holding Corporation,0.26,0,n/a,n/a,Basic Industries,Precious Metals
IAG,Iamgold Corporation,3.37,1596706000,n/a,n/a,Basic Industries,Precious Metals
ICL,ICL Group Ltd.,4.7,6018590390.9,n/a,2014,Basic Industries,Agricultural Chemicals
NGVT,Ingevity Corporation,66.58,2748388710.52,n/a,2016,Basic Industries,Major Chemicals
IOSP,Innospec Inc.,82.29,2022682768.86,n/a,n/a,Basic Industries,Major Chemicals
IBP,"Installed Building Products, Inc.",98.82,2944888868.7,n/a,2014,Basic Industries,Homebuilding
ITRG,Integra Resources Corp.,3.3493,182899167.2261,n/a,n/a,Basic Industries,Precious Metals
IFF,"International Flavors & Fragrances, Inc.",112.1,11987229431.8,n/a,n/a,Basic Industries,Major Chemicals
IFFT,"International Flavors & Fragrances, Inc.",41.28,0,n/a,2018,Basic Industries,Major Chemicals
IP,International Paper Company,49.48,19450363657.68,n/a,n/a,Basic Industries,Paper
THM,International Tower Hill Mines Ltd,1.4,272871457.6,n/a,n/a,Basic Industries,Precious Metals
IPI,"Intrepid Potash, Inc",12.94,172026404.52,n/a,2008,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
J,Jacobs Engineering Group Inc.,107.84,13978590475.52,n/a,n/a,Basic Industries,Military/Government/Technical
JELD,"JELD-WEN Holding, Inc.",24.19,2437183598.81,n/a,2017,Basic Industries,Forest Products
KBR,"KBR, Inc.",27.77,3957976261.81,n/a,2006,Basic Industries,Military/Government/Technical
KGC,Kinross Gold Corporation,7.14,8984262000,n/a,n/a,Basic Industries,Precious Metals
KL,Kirkland Lake Gold Ltd.,40.98,11186910793.08,n/a,n/a,Basic Industries,Precious Metals
